arc,fraction,x_m,y_m,radial_x,radial_y
left_wall,0.296875,-6.713352531349884,-0.5532054635935069,-0.9981904925380307,-0.06013102865146814
left_wall,0.3125,-6.711554652557377,-0.5822835753325163,-0.9979950709301495,-0.06329169297092568
left_wall,0.328125,-6.709664701239985,-0.6113558479384982,-0.9977896414391288,-0.06645172260201068
left_wall,0.34375,-6.707682696350126,-0.6404219898750401,-0.9975742061250136,-0.06961108585598262
left_wall,0.359375,-6.705608657763314,-0.6694817096672074,-0.9973487671481862,-0.07276975105078343
left_wall,0.375,-6.703442606277989,-0.6985347159044552,-0.9971133267693465,-0.07592768651135383
left_wall,0.390625,-6.701184563615287,-0.7275807172435733,-0.9968678873494877,-0.07908486056995363
left_wall,0.40625,-6.6988345524188375,-0.7566194224115974,-0.9966124513498736,-0.08224124156647798
left_wall,0.421875,-6.696392596254524,-0.7856505402087165,-0.9963470213320135,-0.08539679784877353
left_wall,0.4375,-6.693858719610256,-0.8146737795112179,-0.9960715999576365,-0.08855149777295847
left_wall,0.453125,-6.691232947895717,-0.8436888492743942,-0.9957861899886649,-0.09170530970373851
left_wall,0.46875,-6.688515307442119,-0.8726954585354505,-0.9954907942871868,-0.09485820201472289
left_wall,0.484375,-6.685705825501927,-0.9016933164164492,-0.9951854158154267,-0.09801014308874449
left_wall,0.5,-6.682804530248594,-0.9306821321271957,-0.9948700576357167,-0.10116110131817346
left_wall,0.515625,-6.679811450776276,-0.9596616149681821,-0.9945447229104648,-0.1043110451052372
left_wall,0.53125,-6.67672661709954,-0.9886314743334904,-0.9942094149021239,-0.10745994286233593
left_wall,0.546875,-6.673550060153062,-1.0175914197136946,-0.9938641369731589,-0.11060776301235813
left_wall,0.5625,-6.67028181179132,-1.0465411606988027,-0.9935088925860129,-0.1137544739890003
left_wall,0.578125,-6.6669219047882695,-1.075480406981135,-0.9931436853030727,-0.11690004423707989
left_wall,0.59375,-6.66347037283702,-1.1044088683582656,-0.9927685187866326,-0.12004444221285496
left_wall,0.609375,-6.6599272505494955,-1.133326254735919,-0.9923833967988581,-0.12318763638433905
left_wall,0.625,-6.656292573456085,-1.1622322761308683,-0.9919883232017482,-0.12632959523161613
left_wall,0.640625,-6.652566378005286,-1.1911266426738658,-0.9915833019570963,-0.12947028724715934
left_wall,0.65625,-6.648748701563347,-1.2200090646125388,-0.9911683371264508,-0.13260968093614553
left_wall,0.671875,-6.644839582413885,-1.2488792523142829,-0.9907434328710744,-0.13574774481676988
left_wall,0.6875,-6.6408390597575,-1.2777369162691903,-0.990308593451902,-0.13888444742056416
left_wall,0.703125,-6.636747173711385,-1.3065817670929418,-0.9898638232294983,-0.14201975729271107
left_wall,0.71875,-6.632563965308929,-1.3354135155296958,-0.989409126664014,-0.14515364299235825
left_wall,0.734375,-6.628289476499299,-1.364231872455017,-0.9889445083151411,-0.14828607309293665
left_wall,0.75,-6.623923750147018,-1.3930365488787444,-0.9884699728420672,-0.15141701618247222
left_wall,0.765625,-6.619466830031541,-1.4218272559479166,-0.9879855250034283,-0.15454644086390398
left_wall,0.78125,-6.614918760846811,-1.450603704949657,-0.9874911696572619,-0.1576743157553975
left_wall,0.796875,-6.610279588200813,-1.4793656073140569,-0.9869869117609579,-0.16080060949065836
left_wall,0.8125,-6.605549358615118,-1.5081126746170963,-0.9864727563712085,-0.1639252907192496
left_wall,0.828125,-6.600728119524415,-1.536844618583506,-0.9859487086439581,-0.16704832810690284
left_wall,0.84375,-6.595815919276033,-1.5655611510896847,-0.9854147738343514,-0.17016969033583532
left_wall,0.859375,-6.59081280712946,-1.594261984166578,-0.9848709572966804,-0.17328934610506283
left_wall,0.875,-6.585718833255848,-1.622946830002552,-0.9843172644843313,-0.1764072641307122
left_wall,0.890625,-6.58053404873751,-1.6516154009463053,-0.9837537009497292,-0.17952341314633755
left_wall,0.90625,-6.575258505567401,-1.6802674095097412,-0.9831802723442827,-0.18263776190323275
left_wall,0.921875,-6.569892256648615,-1.7089025683708376,-0.9825969844183275,-0.18575027917074324
left_wall,0.9375,-6.564435355793826,-1.7375205903765538,-0.982003843021068,-0.18886093373658194
left_wall,0.953125,-6.558887857724779,-1.7661211885456967,-0.9814008541005194,-0.19196969440714096
left_wall,0.96875,-6.55324981807172,-1.7947040760717876,-0.9807880237034478,-0.195076530007803
